"ndvi","evi","doy","site","veg"
0.262886583805084,0.0810395628213882,140.463252314815,"ForestShrub2","fs"
0.258454859256744,0.0773933380842209,140.463252314815,"ForestShrub1","fs"
0.276839226484299,0.0892323926091194,140.463252314815,"Shrub1","s"
0.255118995904922,0.0805268287658691,140.463252314815,"Shrub2","s"
0.256451606750488,0.0819728448987007,140.463252314815,"Shrub3","s"
0.156984597444534,0.046702679246664,140.463252314815,"Shrub4","s"
0.16447876393795,0.0423122756183147,140.463252314815,"Shrub5","s"
0.122896157205105,0.0334641933441162,140.463252314815,"Shrub6","s"
0.252832442522049,0.0766061991453171,140.463252314815,"Shrub7","s"
0.256905257701874,0.0790980085730553,140.463252314815,"Shrub8","s"
0.189578711986542,0.0574587136507034,140.463252314815,"Shrub9","s"
0.230907455086708,0.0695810690522194,140.463252314815,"Shrub10","s"
0.233830839395523,0.0714681819081306,140.463252314815,"Shrub11","s"
0.235077798366547,0.0729331225156784,140.463252314815,"Shrub13","s"
0.214354380965233,0.0618448071181774,140.463252314815,"Shrub14","s"
0.228907778859138,0.0671643242239952,140.463252314815,"Shrub15","s"
0.0659223794937134,0.0177424196153879,140.463252314815,"Forest1","f"
0.135354623198509,0.0375838130712509,140.463252314815,"Forest2","f"
0.024715356528759,0.00650565791875124,140.463252314815,"Forest3","f"
0.107154212892056,0.0292712580412626,140.463252314815,"Forest4","f"
0.0761750414967537,0.0205602291971445,140.463252314815,"Forest5","f"
0.0668781399726868,0.0186396725475788,140.463252314815,"Forest6","f"
0.105325445532799,0.0283416919410229,140.463252314815,"Forest7","f"
0.0238218531012535,0.00643996149301529,140.463252314815,"Forest8","f"
0.0865904986858368,0.0232194401323795,140.463252314815,"Forest9","f"
0.0288570784032345,0.00765410671010613,140.463252314815,"Forest10","f"
0.0416666679084301,0.0112151997163892,140.463252314815,"Forest11","f"
0.140099629759789,0.0382529459893703,140.463252314815,"Forest12","f"
0.0973049625754356,0.0260321795940399,140.463252314815,"Forest13","f"
0.140245825052261,0.0392651669681072,140.463252314815,"Forest14","f"
0.143485084176064,0.0393999479711056,140.463252314815,"Forest15","f"
0.172215104103088,0.0492692030966282,140.463252314815,"FP1","fp"
0.153950959444046,0.042431753128767,140.463252314815,"FP2","fp"
0.194650813937187,0.0576026737689972,140.463252314815,"FP3","fp"
0.169655174016953,0.0466350726783276,140.463252314815,"FP4","fp"
0.163575038313866,0.0447664745151997,140.463252314815,"FP5","fp"
0.116875715553761,0.0321967601776123,140.463252314815,"FP6","fp"
0.0675875693559647,0.0151787102222443,140.463252314815,"FP7","fp"
0.0422582253813744,0.0122578702867031,140.463252314815,"FP8","fp"
